Concept	correlation
turtle	-0.246270938869
screw	-0.171352560615
kite	-0.13936205316
arrow	-0.127991928768
armour	-0.124821711515
cake	-0.121401465083
spade	-0.113876404572
emu	-0.0873209388954
basin	-0.0864712540693
donkey	-0.0844862651428
brush	-0.0819451483541
scallop	-0.0786272307027
lipstick	-0.0738361272496
bowl	-0.0682138541637
toaster	-0.0632489238751
shoes	-0.0617855295396
belt	-0.0616519293695
van	-0.0605447003021
saw	-0.0558099859698
thimble	-0.0430406152539
lettuce	-0.0409542511701
rake	-0.033718743999
leopard	-0.0303951477631
heart	-0.0283600677226
slug	-0.0219337639572
pyramid	-0.0203617568231
alligator	-0.0202717633313
badge	-0.0179909099058
coin	-0.015387556601
tyre	-0.0142026987823
peeler	-0.0115822820941
raccoon	-0.00982892498128
cod	-0.00967918449846
perfume	-0.00377425645271
whistle	-0.00312768676491
needle	-0.0026820873771
swing	-0.00203020322791
table	-0.00158264165585
motorcycle	0.0
moped	0.0
bolts	0.000115432560994
doughnut	0.00473900610272
dice	0.0056068209317
newspaper	0.00768866889641
brick	0.00895465755785
chain	0.0159752077199
plough	0.0276025610596
menu	0.0285615190781
caravan	0.0306476034932
hair	0.0327060292344
otter	0.0344956503616
rattle	0.0392337568606
barrel	0.0462655723897
rock	0.0481760747613
yoyo	0.0489987365429
microwave	0.052730263256
rollerskate	0.0530942295751
mug	0.0569834225736
flannel	0.0581801016453
sink	0.0604308308359
beaver	0.065217038014
certificate	0.0660294564948
comb	0.0670161017542
dates	0.0679182424947
peg	0.0705532671189
thermometer	0.0771365642933
bouquet	0.0778882488459
catalogue	0.0787777613691
football	0.079827126751
castle	0.0867713028934
glue	0.0871345444044
stone	0.0884882624659
bikini	0.0921472289092
ruler	0.0927938725745
sandpaper	0.0958435140022
cup	0.102502916411
puppet	0.104868935084
club	0.115770178073
hutch	0.117411276554
jar	0.117911938147
encyclopaedia	0.12303199362
seashell	0.123793134758
plate	0.123922783797
hippo	0.124757660885
seaweed	0.12747189881
spoon	0.135637018866
fork	0.135721788339
whip	0.138366056174
key	0.13959892009
shrimp	0.141473837696
colander	0.14342434326
bell	0.144437814833
bath	0.147461136556
doll	0.147547598453
fridge	0.151285705324
strainer	0.152055280384
kettle	0.156196695808
chandelier	0.166141935158
mirror	0.16653268499
peanut	0.169537151426
frisbee	0.179521801112
doorknob	0.180858023543
cricket	0.181168391063
onion	0.183658306838
octopus	0.183754287316
television	0.184012724442
anchor	0.184974452898
crayon	0.186566540876
tuna	0.18677089395
ladle	0.187074628341
carrot	0.189655768955
oven	0.190135343181
nail	0.190588426402
goggles	0.194771812344
watch	0.195544014044
grater	0.198488353953
boomerang	0.198540468701
nut	0.200675277122
sycamore	0.201167834009
marble	0.201634039261
candle	0.20273078558
raft	0.207784681113
partridge	0.208629181971
cushion	0.209390761388
bridge	0.212829761497
bottle	0.22064855199
bracelet	0.2217851893
rocket	0.228494855394
carp	0.22999900563
dictionary	0.230819675238
jam	0.231357127597
necklace	0.235149358881
hyacinth	0.23631302397
gloves	0.236694221546
cape	0.237312614731
poison	0.238313121315
basket	0.239628328091
napkin	0.242132602447
hook	0.243498509958
tongs	0.244665196181
ball	0.245109391644
cage	0.245462001851
brochure	0.246737438017
crossbow	0.250493826536
clock	0.251644384247
cupboard	0.253591280071
blender	0.254935536696
pin	0.255108085309
dishwasher	0.256790769014
throne	0.257569251762
rose	0.260040257668
drill	0.260797848684
moss	0.261128052429
clamp	0.262436658271
mushroom	0.264228718485
bellows	0.265511550658
oyster	0.267599748682
microscope	0.268820218797
balloon	0.270323830956
book	0.271608015058
mop	0.271771481582
buckle	0.273580687191
clam	0.274583858261
deckchair	0.275749016167
pillow	0.276469586068
olive	0.276760403596
orange	0.277292597704
spear	0.279602428301
fence	0.28440587371
cork	0.286300082962
eel	0.287438469666
whale	0.289255146574
gong	0.289265029687
trout	0.294856825021
mat	0.297359242653
button	0.297389440115
cradle	0.297904494355
lamb	0.298081784527
whisk	0.298785485756
syringe	0.299299219963
fir	0.299736884029
stove	0.300839887268
cigarette	0.301339217982
hose	0.302998227696
tray	0.303401360633
squid	0.305359547474
harpoon	0.305681393509
chestnut	0.305849064058
crab	0.306661778256
telephone	0.308072513958
radio	0.308187013304
ladder	0.310655838798
toilet	0.310754268199
machete	0.313676669697
hoe	0.315098919073
foot	0.315468574039
tent	0.315854604823
shield	0.316034675417
birch	0.319643778219
prune	0.32159612657
tongue	0.324784908306
textbook	0.32503780735
armchair	0.325312873585
cigar	0.327014789724
box	0.327985899272
lamp	0.328025362634
valium	0.329799254496
stick	0.330623749211
jug	0.331385690299
trowel	0.333221977439
sledge	0.335030021082
bed	0.337209842596
lantern	0.338337169739
spatula	0.339787903234
unicycle	0.342629810666
skis	0.342874046535
cherry	0.345181105655
hatchet	0.345203988577
ashtray	0.345362689028
bomb	0.345766086737
flounder	0.346105221225
turkey	0.346163516963
hammer	0.347005842544
bench	0.348994545065
surfboard	0.34954205259
crayfish	0.350191798177
canary	0.35159093887
cannon	0.354669228184
submarine	0.354932870824
sandwich	0.35537393057
tiger	0.355795720873
bin	0.355873744669
window	0.356565672544
corn	0.357700429228
rope	0.35800784674
pamphlet	0.358098855788
eucalyptus	0.358850672539
salmon	0.359482896764
willow	0.359795448902
tank	0.363008145332
corkscrew	0.363489140354
tweezers	0.364837144878
lips	0.366390192578
stool	0.366585943439
ostrich	0.368224218475
garlic	0.370917476362
gate	0.377732909831
flea	0.378970349968
bag	0.379631638835
mussel	0.379642432443
oak	0.380220777851
chicken	0.382115027738
envelope	0.382803505885
bullet	0.383684866648
cap	0.384956514843
satchel	0.385007394128
scythe	0.387009516962
spinach	0.387412092583
scorpion	0.388924096815
jelly	0.389352165763
bookcase	0.390829365108
umbrella	0.391146932808
wheel	0.393777312903
gherkin	0.395398923068
sword	0.39543222391
bone	0.39576045606
banana	0.395796971274
radish	0.39677170382
wallet	0.398550562301
lime	0.399101664368
pine	0.400834447932
elm	0.401011885767
lobster	0.401353663335
pumpkin	0.403842955897
mittens	0.404443082575
plum	0.404999924552
pencil	0.405291350019
pen	0.40593502856
ibuprofen	0.406187434649
dagger	0.409148221024
wasp	0.409518161492
grenade	0.409829028036
skunk	0.410900752305
watermelon	0.411796934454
wand	0.41353240452
leek	0.414336699211
arm	0.414937921278
mango	0.415298975419
eye	0.417541987041
pie	0.418253911587
heron	0.419081524745
sardine	0.419524147621
pineapple	0.420649008375
coconut	0.420691264546
ear	0.423032110628
camera	0.423135805046
dresser	0.423154536654
cucumber	0.42390694637
