Concept	correlation	log(BNC_freq)	num_feats_tax	familiarity	tot_num_feats	polysemy	a_bird	a_fish	a_fruit	a_musical_instrument	a_tool	a_vegetable	an_animal
vine	-0.0870857360699	6.81673588059	8	5.00	89	1	0	0	0	0	0	0	0
dove	-0.0748675364357	6.12686918411	10	3.70	148	8	1	0	0	0	0	0	0
cage	-0.0632478647843	7.2048925102	13	5.65	125	6	0	0	0	0	0	0	0
hoe	-0.0444748810101	4.74493212836	15	3.70	176	2	0	0	0	0	1	0	0
pin	-0.0437595795185	7.51969240412	10	6.85	118	15	0	0	0	0	0	0	0
key	-0.0336862966097	9.61340259547	12	8.75	136	21	0	0	0	0	0	0	0
mat	-0.0305995856073	6.75460409949	13	6.85	96	10	0	0	0	0	0	0	0
turkey	-0.0203029765272	7.71244383427	18	5.50	169	5	0	0	0	0	0	0	1
cod	-0.0033358282656	5.95324333429	9	3.60	82	7	0	1	0	0	0	0	0
beehive	-0.000927178935089	4.52178857705	8	5.10	94	4	0	0	0	0	0	0	0
robin	0.000655683756366	7.81075811653	17	5.95	231	2	1	0	0	0	0	0	0
pepper	0.0171890703738	7.06390396147	12	7.80	131	6	0	0	0	0	0	0	0
worm	0.0193620814658	7.14913159856	11	6.55	107	5	0	0	0	0	0	0	0
hose	0.0219387173414	5.96100533962	16	5.75	140	4	0	0	0	0	0	0	0
chicken	0.0249785984964	7.85515700588	20	7.95	180	5	0	0	0	0	0	0	1
level	0.0269207507766	10.5685952761	9	4.95	70	19	0	0	0	0	1	0	0
hut	0.0274548960329	7.39018142823	6	3.25	66	2	0	0	0	0	0	0	0
kite	0.0364739401715	6.86484777797	14	5.20	134	8	0	0	0	0	0	0	0
sandpaper	0.0426780734942	4.12713438505	12	5.75	135	2	0	0	0	0	0	0	0
wheel	0.0492172609762	8.36938899665	10	8.20	130	11	0	0	0	0	0	0	0
telephone	0.0499910597586	9.05380351416	12	8.85	122	3	0	0	0	0	0	0	0
stick	0.0570592243092	8.61974977974	11	7.55	111	25	0	0	0	0	0	0	0
muzzle	0.0593328399831	5.48479693349	8	3.25	85	7	0	0	0	0	0	0	0
whip	0.0645493888296	7.04141166379	14	3.75	122	11	0	0	0	0	0	0	0
saucer	0.0679881140364	6.21260609575	15	6.05	131	4	0	0	0	0	0	0	0
bridge	0.071262810028	8.93089098445	14	7.10	149	12	0	0	0	0	0	0	0
candle	0.074271816573	7.37148929521	14	7.70	163	3	0	0	0	0	0	0	0
wand	0.0781423498702	5.24702407216	10	2.60	106	4	0	0	0	0	0	0	0
surfboard	0.0783474085244	3.49650756147	12	3.90	116	2	0	0	0	0	0	0	0
thermometer	0.0787281547293	5.14749447681	12	7.00	114	1	0	0	0	0	0	0	0
pot	0.0790701320914	8.04430540699	10	7.45	119	10	0	0	0	0	0	0	0
pan	0.0792071256919	7.70120018086	12	6.70	120	7	0	0	0	0	0	0	0
rocker	0.081433168231	5.5490760849	6	5.30	64	7	0	0	0	0	0	0	0
inn	0.0823385168777	7.53743003659	10	5.55	91	1	0	0	0	0	0	0	0
lantern	0.0824306317845	5.90536184805	12	5.30	92	1	0	0	0	0	0	0	0
bouquet	0.0831910366139	5.90536184805	8	6.05	93	2	0	0	0	0	0	0	0
tap	0.0837735940664	7.84345640438	9	7.85	95	20	0	0	0	0	0	0	0
canary	0.0842051113846	5.91889385427	15	3.65	218	5	1	0	0	0	0	0	0
