Concept	correlation	BNC_freq	num_feats_tax	familiarity	tot_num_feats
vine	-0.0870857360699	913	8	5.00	89
dove	-0.0748675364357	458	10	3.70	148
cage	-0.0632478647843	1346	13	5.65	125
hoe	-0.0444748810101	115	15	3.70	176
pin	-0.0437595795185	1844	10	6.85	118
key	-0.0336862966097	14964	12	8.75	136
mat	-0.0305995856073	858	13	6.85	96
turkey	-0.0203029765272	2236	18	5.50	169
cod	-0.0033358282656	385	9	3.60	82
beehive	-0.000927178935089	92	8	5.10	94
robin	0.000655683756366	2467	17	5.95	231
pepper	0.0171890703738	1169	12	7.80	131
worm	0.0193620814658	1273	11	6.55	107
hose	0.0219387173414	388	16	5.75	140
chicken	0.0249785984964	2579	20	7.95	180
level	0.0269207507766	38894	9	4.95	70
hut	0.0274548960329	1620	6	3.25	66
kite	0.0364739401715	958	14	5.20	134
sandpaper	0.0426780734942	62	12	5.75	135
wheel	0.0492172609762	4313	10	8.20	130
telephone	0.0499910597586	8551	12	8.85	122
stick	0.0570592243092	5540	11	7.55	111
muzzle	0.0593328399831	241	8	3.25	85
whip	0.0645493888296	1143	14	3.75	122
saucer	0.0679881140364	499	15	6.05	131
bridge	0.071262810028	7562	14	7.10	149
candle	0.074271816573	1590	14	7.70	163
wand	0.0781423498702	190	10	2.60	106
surfboard	0.0783474085244	33	12	3.90	116
thermometer	0.0787281547293	172	12	7.00	114
pot	0.0790701320914	3116	10	7.45	119
pan	0.0792071256919	2211	12	6.70	120
rocker	0.081433168231	257	6	5.30	64
inn	0.0823385168777	1877	10	5.55	91
lantern	0.0824306317845	367	12	5.30	92
bouquet	0.0831910366139	367	8	6.05	93
tap	0.0837735940664	2549	9	7.85	95
canary	0.0842051113846	372	15	3.65	218
menu	0.0860316015293	2046	8	8.05	104
envelope	0.0872452127822	1860	11	7.90	105
doorknob	0.0910974344282	40	9	8.85	97
bedroom	0.0923538948415	5967	10	8.95	120
whistle	0.0925638697749	930	14	6.40	145
pen	0.0926737173284	2691	15	8.95	143
stork	0.0928171782571	129	14	2.50	215
rattle	0.0989455398181	441	9	5.00	107
rope	0.0992699777653	2165	12	6.90	102
tack	0.100425705556	580	13	6.40	123
pencil	0.101368601308	1451	16	8.60	196
rock	0.101394154419	9703	12	7.85	98
shack	0.102008063887	170	12	3.55	117
anchor	0.102179183434	700	14	3.85	136
brick	0.103502688257	2832	9	7.40	106
banner	0.106298403742	900	13	6.10	94
eel	0.10634720311	355	11	2.55	125
goose	0.107550631898	889	15	4.90	168
marble	0.109708185551	1575	14	6.20	161
cork	0.109757389489	985	7	5.70	60
balloon	0.110270231243	1036	18	7.05	166
crayon	0.113670596402	165	13	7.60	168
pearl	0.113924941702	1070	15	5.10	138
nightingale	0.114363020523	245	6	1.80	82
cape	0.1150089742	1045	12	4.05	95
rocket	0.117482874637	892	12	2.25	89
pyramid	0.118161509138	693	14	2.70	133
swan	0.119609860218	1431	16	4.20	193
buckle	0.12090905744	352	8	7.65	80
veil	0.121045840075	617	10	3.70	111
bathtub	0.122190768536	33	16	8.05	121
bomb	0.122323537025	4261	15	3.05	146
toilet	0.122769421919	2071	8	8.55	88
bayonet	0.12357674944	161	7	1.75	41
toy	0.124106158671	2141	8	7.70	84
stone	0.126614809476	11527	11	7.40	103
apartment	0.12669458565	1948	18	7.80	175
python	0.127562249214	169	15	2.20	143
coin	0.128247767743	2645	11	8.85	109
doll	0.128790019825	1167	12	7.75	126
cigar	0.129313001064	704	11	4.60	126
box	0.130680421985	11653	14	7.80	145
microscope	0.130727031042	680	13	5.70	107
dandelion	0.131308249353	189	13	6.40	147
ant	0.131900812667	1012	12	7.55	121
bucket	0.134933141826	1404	7	6.55	93
baton	0.135597716518	276	10	3.20	93
urn	0.136545465291	226	7	2.60	65
slingshot	0.137048540677	11	15	4.15	173
flea	0.137489859214	331	17	4.35	167
airplane	0.137678305479	108	13	6.55	140
bungalow	0.139529220837	754	9	4.30	102
ball	0.140393140711	9107	9	8.35	87
ashtray	0.140785418567	324	11	5.60	108
limousine	0.142460465017	228	19	4.10	212
shed	0.143456829869	2559	12	7.05	135
helmet	0.146318000976	969	12	6.20	117
penguin	0.146543915283	600	18	2.80	236
armour	0.148215047262	897	11	2.45	132
birch	0.148464629687	469	10	5.50	102
certificate	0.149204500414	3728	12	6.95	119
hook	0.149266109815	1912	9	6.65	112
catapult	0.14936423404	189	9	2.15	86
raven	0.150954377727	308	13	3.20	168
typewriter	0.151000829253	595	16	5.30	163
napkin	0.15219406525	317	14	8.25	130
radio	0.153309383882	9241	17	8.70	175
door	0.153364395511	30174	13	8.95	152
grenade	0.153446494066	373	15	2.20	180
basket	0.153622422224	1830	9	6.90	96
thimble	0.154801162541	41	11	3.85	136
mug	0.162032710398	1078	14	8.60	138
projector	0.162191388382	247	6	6.60	50
butterfly	0.162903516382	1151	15	6.15	165
cabin	0.163578028587	1289	10	5.10	105
tripod	0.164555026371	172	6	3.45	77
spade	0.165293594234	481	7	4.95	66
barrel	0.166591511876	1438	11	5.05	107
emerald	0.172051249399	345	12	4.05	143
subway	0.173540378654	167	14	5.90	140
football	0.174096006079	6735	15	6.10	144
gate	0.174702406245	5823	14	7.10	145
shell	0.175833603107	3236	8	6.20	70
tent	0.176003595936	1564	11	6.85	92
book	0.176038794338	37980	16	8.80	148
bottle	0.177103749056	6002	15	8.35	186
cottage	0.178106107382	4034	13	6.35	106
umbrella	0.178940898926	987	11	7.35	102
eagle	0.179171974988	1793	17	3.60	191
crown	0.182218851487	5492	14	2.95	165
submarine	0.183235488094	767	13	3.05	102
magazine	0.183310590347	6418	14	8.15	131
saddle	0.18387978529	848	9	3.75	116
pigeon	0.184290669276	884	14	5.80	161
peg	0.185898112604	990	7	5.30	68
skyscraper	0.188072539937	129	12	6.45	139
clock	0.188446730998	3404	14	8.60	159
bag	0.188777852702	7536	12	8.55	113
escalator	0.19176491124	141	11	7.35	119
chain	0.192645238287	5015	11	7.05	100
pier	0.194018147269	1129	11	5.25	89
comb	0.195713294506	544	12	7.90	122
skillet	0.196573652548	15	11	4.95	129
duck	0.197172375301	2094	20	5.20	220
cigarette	0.198025845834	3614	13	5.20	114
ox	0.198311624652	336	11	2.30	123
partridge	0.198591430082	249	10	2.55	134
sack	0.199173111278	1468	8	5.70	70
parakeet	0.199244852102	40	16	2.95	189
ruler	0.200262400643	1580	18	7.75	192
medal	0.200531145445	1643	14	5.90	127
caterpillar	0.203724849258	375	14	5.35	151
cup	0.204590060768	13575	21	8.20	199
corkscrew	0.20492667343	104	10	5.60	88
perch	0.207336809329	302	15	4.00	161
emu	0.207682217868	293	12	3.10	102
seal	0.208538475251	2025	17	2.90	148
carpet	0.209294546395	3396	17	8.75	143
rattlesnake	0.209465349152	56	19	2.70	172
bureau	0.210687952752	1498	12	5.50	142
housefly	0.211942933103	6	15	6.85	165
fox	0.213035746252	2741	17	4.70	166
razor	0.213685754175	483	8	7.85	119
wheelbarrow	0.213851566103	251	14	5.40	168
house	0.214486693439	61006	16	8.45	133
skis	0.216547054537	1115	13	5.00	106
mirror	0.216718648643	4539	11	8.40	106
bowl	0.216902076225	3165	14	8.50	123
owl	0.2171764948	1648	13	4.10	164
earmuffs	0.217369151252	4	13	5.25	122
mouse	0.219258022368	2912	19	4.95	175
bluejay	0.221843811974	3	12	5.10	149
colander	0.223371130077	54	6	2.35	64
crow	0.224775793668	533	13	5.00	131
sled	0.224903813349	34	12	6.35	126
ambulance	0.226505381633	1846	19	6.45	189
ostrich	0.226847165612	168	19	2.55	254
cloak	0.22744527969	873	8	3.30	63
spear	0.228491057597	587	15	3.10	157
bullet	0.229794543826	1270	14	3.65	157
cathedral	0.230744671327	2723	13	4.70	118
van	0.230773942292	4655	15	8.00	145
rooster	0.234180096985	33	18	3.75	196
spoon	0.234430632242	1013	19	8.65	194
trailer	0.234865584769	653	12	6.15	100
brush	0.235005430143	2448	12	8.70	100
sailboat	0.23515939978	21	14	4.95	146
flamingo	0.238701490746	138	11	2.70	116
fence	0.240157168389	2289	11	8.15	76
bazooka	0.240343791116	23	11	2.05	94
church	0.241220482504	24058	15	6.10	131
bench	0.241948159835	2605	11	7.60	132
wall	0.242881652649	18207	14	8.90	103
falcon	0.244608974361	408	14	2.85	171
plate	0.245235031723	6443	20	8.90	159
bolts	0.248076747285	1323	13	4.90	115
grater	0.249312876761	30	12	5.05	125
mixer	0.249403621136	284	9	5.90	96
closet	0.250230482149	260	13	8.70	163
hatchet	0.25067198532	75	8	2.60	72
axe	0.250713963834	1226	16	4.60	214
paintbrush	0.252590018026	73	6	6.85	73
catfish	0.254351326911	232	10	3.35	120
hawk	0.254632461052	572	13	3.50	173
desk	0.255747061339	4873	16	8.65	174
tomahawk	0.255902171818	44	14	2.10	130
racquet	0.256172787182	77	13	5.75	146
chandelier	0.257553370136	217	15	6.50	149
ship	0.257875209591	7505	13	4.90	149
jar	0.264023551261	1058	12	6.95	145
crossbow	0.265093027428	113	8	3.35	98
mandarin	0.265152461941	329	15	3.70	134
sardine	0.265849102637	198	11	3.15	147
table	0.267782429002	23156	11	8.95	130
bed	0.268025175504	18117	17	8.95	166
goldfish	0.269638871923	365	14	6.40	163
cedar	0.270143517142	236	15	5.50	116
buffalo	0.271656153896	366	15	3.50	154
willow	0.272181367682	524	10	3.50	86
curtains	0.272422048729	3412	13	8.40	152
mink	0.27344224783	273	15	2.35	140
lamp	0.274169158068	2150	14	8.55	144
kettle	0.275271261642	989	17	7.80	175
seagull	0.276760072229	189	15	6.70	191
shovel	0.276911476334	280	15	6.45	162
harpoon	0.277784313402	47	11	2.10	93
minnow	0.27987364782	107	13	3.55	142
pine	0.280256132053	1231	11	4.85	134
helicopter	0.280531843883	1556	10	4.05	84
raft	0.280734687987	404	14	4.70	128
ladle	0.282490758828	84	11	4.95	114
shield	0.282721984101	2224	10	2.85	90
snail	0.282761770502	543	9	5.40	118
broom	0.283293987253	391	13	7.65	153
buzzard	0.286443073743	236	14	2.20	141
boat	0.286880702468	7391	10	6.55	113
pillow	0.28705677325	1133	13	8.80	188
sparrow	0.287276675509	294	13	4.35	179
walnut	0.287429686541	461	11	5.75	129
unicycle	0.287491383414	14	9	2.75	113
bra	0.289330969412	493	20	7.45	198
cushion	0.28966420891	1004	16	7.90	156
bracelet	0.29034669705	305	14	8.20	153
finch	0.290783638636	354	10	3.25	121
beetle	0.293405404529	556	13	4.20	113
apron	0.293445340155	573	13	4.75	117
jet	0.295336442045	1830	15	4.50	176
barn	0.295653016151	1600	17	5.60	218
salamander	0.295666517935	79	13	2.45	93
bull	0.296191466855	2173	12	3.60	133
sledgehammer	0.296853448857	67	11	3.80	134
blackbird	0.298369459762	300	12	3.75	173
tray	0.299351272491	1826	12	6.75	112
woodpecker	0.301827894688	146	15	4.10	169
stereo	0.303444742192	608	15	8.95	142
gun	0.303926746564	5505	16	3.50	162
oriole	0.305403249802	16	9	2.40	95
rice	0.306723551681	1710	10	7.50	114
chapel	0.306835576957	2443	11	5.25	98
crowbar	0.307211226394	61	12	4.00	113
fork	0.307326590947	1055	14	8.70	162
chickadee	0.30987930129	4	15	3.80	159
hammer	0.310235602376	1354	16	6.30	205
drapes	0.310531976405	125	18	7.70	197
taxi	0.310931835118	2195	10	7.35	125
pistol	0.311206016584	951	19	3.00	210
drain	0.311320813066	1620	9	7.70	107
parka	0.311627648508	45	10	4.60	76
cockroach	0.312552346814	147	14	3.60	90
guppy	0.312588921816	124	6	2.00	64
leopard	0.312661181611	335	9	3.35	85
hare	0.31361639465	674	18	3.25	184
toaster	0.314889557572	97	14	7.80	194
pelican	0.31494578844	145	15	2.85	189
dish	0.315330204523	3043	10	8.80	92
skunk	0.316200779055	57	12	5.50	179
rake	0.316253572277	353	15	5.80	148
train	0.316813140191	10384	15	6.05	133
groundhog	0.31726033296	5	14	3.85	133
cake	0.317623880884	3791	17	7.40	157
budgie	0.317678421034	143	17	4.40	188
caribou	0.318045670859	57	18	3.60	179
machete	0.319935194294	63	8	2.00	65
peacock	0.320043979777	578	16	3.85	164
sleigh	0.320091641391	45	9	5.35	101
vulture	0.320653614021	291	18	2.40	190
mackerel	0.32194262449	151	9	3.85	89
belt	0.324829176164	2695	13	7.95	161
chair	0.324879243095	10023	16	8.70	182
knife	0.326979043052	3364	17	8.00	177
pheasant	0.327080515291	326	9	3.15	104
