Concept	correlation	BNC_freq	num_feats_tax	familiarity	tot_num_feats
sandpaper	-0.0371772111233	62	12	5.75	135
key	-0.01141658436	14964	12	8.75	136
beehive	-0.0103917056556	92	8	5.10	94
pencil	-0.00913721168959	1451	16	8.60	196
chain	-0.0074139542679	5015	11	7.05	100
level	0.0162426919155	38894	9	4.95	70
pepper	0.016900182224	1169	12	7.80	131
marble	0.0223214992428	1575	14	6.20	161
thimble	0.0251706331996	41	11	3.85	136
pyramid	0.0280181579306	693	14	2.70	133
mat	0.0290831442513	858	13	6.85	96
bouquet	0.0303766113864	367	8	6.05	93
bathtub	0.0406862496551	33	16	8.05	121
wheel	0.0421748945168	4313	10	8.20	130
rocker	0.0425910670386	257	6	5.30	64
ruler	0.0477641373829	1580	18	7.75	192
toilet	0.0586697251455	2071	8	8.55	88
cork	0.0625463002493	985	7	5.70	60
muzzle	0.064601711537	241	8	3.25	85
lantern	0.0656852882362	367	12	5.30	92
certificate	0.0691407710129	3728	12	6.95	119
menu	0.0895765258348	2046	8	8.05	104
kite	0.0899307146583	958	14	5.20	134
pearl	0.0999391550357	1070	15	5.10	138
cup	0.102298105333	13575	21	8.20	199
mug	0.107740885603	1078	14	8.60	138
thermometer	0.109006250195	172	12	7.00	114
saucer	0.113701073873	499	15	6.05	131
dresser	0.114837043624	335	11	8.35	206
cage	0.116357397091	1346	13	5.65	125
tack	0.11821999706	580	13	6.40	123
cape	0.119373795985	1045	12	4.05	95
telephone	0.12506200186	8551	12	8.85	122
chicken	0.126345892411	2579	20	7.95	180
buckle	0.129423326991	352	8	7.65	80
unicycle	0.138531896137	14	9	2.75	113
pen	0.140929713306	2691	15	8.95	143
paintbrush	0.141525779512	73	6	6.85	73
napkin	0.142872746974	317	14	8.25	130
peg	0.143105248765	990	7	5.30	68
microscope	0.143589028886	680	13	5.70	107
envelope	0.144171131557	1860	11	7.90	105
stick	0.146535160507	5540	11	7.55	111
whistle	0.147799159792	930	14	6.40	145
surfboard	0.147867979134	33	12	3.90	116
anchor	0.148513980338	700	14	3.85	136
sled	0.152319753277	34	12	6.35	126
turkey	0.154636442825	2236	18	5.50	169
shack	0.156064825352	170	12	3.55	117
hose	0.156693560087	388	16	5.75	140
corkscrew	0.156857035932	104	10	5.60	88
box	0.158424450369	11653	14	7.80	145
cabin	0.159654692019	1289	10	5.10	105
radio	0.160646232942	9241	17	8.70	175
sleigh	0.160911867392	45	9	5.35	101
limousine	0.161517088162	228	19	4.10	212
umbrella	0.162451667834	987	11	7.35	102
hut	0.163035649942	1620	6	3.25	66
saddle	0.164384854778	848	9	3.75	116
comb	0.164542225336	544	12	7.90	122
pin	0.167383408206	1844	10	6.85	118
gate	0.167881958331	5823	14	7.10	145
football	0.1684228422	6735	15	6.10	144
shield	0.168920899065	2224	10	2.85	90
rattle	0.169164707358	441	9	5.00	107
whip	0.170568898508	1143	14	3.75	122
chandelier	0.170675657235	217	15	6.50	149
doorknob	0.171702917875	40	9	8.85	97
veil	0.172778337953	617	10	3.70	111
wand	0.172809358325	190	10	2.60	106
shell	0.17295631446	3236	8	6.20	70
bureau	0.172974435005	1498	12	5.50	142
cigarette	0.173624690739	3614	13	5.20	114
barrel	0.174723162311	1438	11	5.05	107
balloon	0.175994341252	1036	18	7.05	166
crayon	0.177542243881	165	13	7.60	168
banner	0.179442047469	900	13	6.10	94
cigar	0.179513859211	704	11	4.60	126
helmet	0.1799612701	969	12	6.20	117
apartment	0.180269653849	1948	18	7.80	175
ashtray	0.18086578493	324	11	5.60	108
bedroom	0.182128601855	5967	10	8.95	120
robin	0.185625312457	2467	17	5.95	231
kettle	0.186135017602	989	17	7.80	175
bluejay	0.186305607177	3	12	5.10	149
flea	0.187480193619	331	17	4.35	167
crown	0.190549133189	5492	14	2.95	165
toy	0.19889203044	2141	8	7.70	84
candle	0.199000290851	1590	14	7.70	163
rock	0.199321686199	9703	12	7.85	98
medal	0.200462023389	1643	14	5.90	127
inn	0.202455632113	1877	10	5.55	91
tap	0.202554953402	2549	9	7.85	95
clock	0.203308916416	3404	14	8.60	159
brick	0.203643113375	2832	9	7.40	106
catapult	0.20445405064	189	9	2.15	86
fence	0.206481604967	2289	11	8.15	76
coin	0.209324429406	2645	11	8.85	109
dandelion	0.209391684082	189	13	6.40	147
ball	0.210032055719	9107	9	8.35	87
tent	0.210585255688	1564	11	6.85	92
armour	0.211734399729	897	11	2.45	132
basket	0.212171644233	1830	9	6.90	96
emerald	0.212973644753	345	12	4.05	143
projector	0.214883865503	247	6	6.60	50
worm	0.2171622362	1273	11	6.55	107
bridge	0.221506939718	7562	14	7.10	149
typewriter	0.223229696296	595	16	5.30	163
sack	0.224825338757	1468	8	5.70	70
doll	0.226317616887	1167	12	7.75	126
python	0.226445147669	169	15	2.20	143
airplane	0.226903694171	108	13	6.55	140
desk	0.228203773432	4873	16	8.65	174
barn	0.228601937354	1600	17	5.60	218
submarine	0.229660280159	767	13	3.05	102
caterpillar	0.230760274339	375	14	5.35	151
fork	0.231784880316	1055	14	8.70	162
magazine	0.231844151012	6418	14	8.15	131
pier	0.235767144645	1129	11	5.25	89
brush	0.236167032589	2448	12	8.70	100
lamp	0.23652853887	2150	14	8.55	144
guppy	0.236657132401	124	6	2.00	64
cottage	0.237212394052	4034	13	6.35	106
birch	0.239067937155	469	10	5.50	102
grater	0.23962459745	30	12	5.05	125
skis	0.240805742863	1115	13	5.00	106
table	0.240907315968	23156	11	8.95	130
apron	0.246476700795	573	13	4.75	117
stone	0.247762804599	11527	11	7.40	103
slingshot	0.247910649594	11	15	4.15	173
bench	0.249933634827	2605	11	7.60	132
escalator	0.250367157234	141	11	7.35	119
bookcase	0.251839257208	233	12	8.15	136
urn	0.253261330497	226	7	2.60	65
canary	0.253660885121	372	15	3.65	218
grenade	0.25400430541	373	15	2.20	180
bracelet	0.255065529176	305	14	8.20	153
mirror	0.255076893512	4539	11	8.40	106
shed	0.255827778715	2559	12	7.05	135
wheelbarrow	0.257567585632	251	14	5.40	168
tripod	0.260101028024	172	6	3.45	77
book	0.260139753951	37980	16	8.80	148
freezer	0.26084205462	527	19	8.35	209
parka	0.260903987368	45	10	4.60	76
ambulance	0.262118310751	1846	19	6.45	189
broom	0.264799245079	391	13	7.65	153
rocket	0.265065439345	892	12	2.25	89
housefly	0.266600723297	6	15	6.85	165
rope	0.266948663032	2165	12	6.90	102
stereo	0.269731914932	608	15	8.95	142
door	0.273889344087	30174	13	8.95	152
earmuffs	0.274053326308	4	13	5.25	122
ladle	0.274722851561	84	11	4.95	114
shelves	0.277584681146	2617	11	7.90	127
bottle	0.278642880324	6002	15	8.35	186
bag	0.278663208754	7536	12	8.55	113
cathedral	0.279299230559	2723	13	4.70	118
closet	0.281854512454	260	13	8.70	163
seal	0.281856059793	2025	17	2.90	148
plate	0.282487240005	6443	20	8.90	159
bomb	0.282975932452	4261	15	3.05	146
helicopter	0.284112230509	1556	10	4.05	84
seagull	0.285317623228	189	15	6.70	191
cabinet	0.285504071646	6902	10	8.35	114
bungalow	0.28577253276	754	9	4.30	102
